dark,ratin,name,RA,DEC,Const,size,Mv,type,distance,descr
,,NGC7814,00:03:50,16:12:33,Peg,1'x5',12,G-Sa/Sb,40e6,Edge-on spiral/dust lane
,,NGC40,00:13:35,72:35:43,Cep,36",10.2,PN,3700,Blue/bright central star
,X,G1,00:33:33,39:39:37,And,-,-,GC,2.9e6,Brightest globular in M31
,,M110,00:40:56,41:44:44,And,8'x3',8.0,G-E6,2.4e6,Companion to M31
D,X,G156,00:42:59,41:00:57,And,-,-,GC,2.4e6,Globular in M31
D,X,M31,00:43:16,41:19:44,And,160'x40',3.4,G-Sb,2.4e6,"Andromeda" galaxy
D,X,M32,00:43:16,40:55:35,And,3.6'x3.1',8.2,G-E2,2.4e6,Companion to M31
,,NGC246,00:47:32,-11:49:40,Cet,3.7',8.0,PN,1600,12M central star
,,ETA CAS,00:49:43,57:52:34,Cas,11",3.5-7.5,Double,19,Yellow & red?
,,NGC278,00:52:42,47:36:34,Cas,1.2'x1.2',11.6,G-Sc,26e6,Compact spiral
,,NGC404,01:09:59,35:46:28,And,1.3'x1.3',11,G-E0/S0,8e6,Bright core
,,ZET PSC,01:14:17,07:37:50,Psc,23.5",4.5-5.5,Double,148,Yellow and pale blue
,,NGC488,01:22:20,05:18:15,Psc,3.5'x3',11.2,G-Sb,90e6,Compact spiral
,XX,NGC604,01:35:08,30:51:20,Tri,2'x1.2',12,EN,3e6,Star forming region in M33
,XX,M76,01:42:58,51:37:23,Per,2'x1',11.5,PN,2400,"Little Dumbbell" nebula
,,1 ARI,01:50:43,22:19:42,Ari,2.8",5.8-6.6,Double,574,Colorful
,,GAM ARI,01:54:06,19:20:49,Ari,7.8",4.2-4.4,Double,160,Both white
,,GAM1 AND,02:04:33,42:22:58,And,9.6",2.5-5,Double,355,2.0M gold 2.1M blue
,,IOT TRI,02:12:37,30:21:03,Tri,3.8",5-6.5,Double,200,Yellow and blue
,,NGC891,02:23:13,42:23:51,And,13x2.8,9.9,G-Sb,43e6,Edge-on spiral/dust lane
,,M77,02:43:13,-00:01:49,Cet,2.5'x1.7',8.8,G-Sbp,60e6,A Seyfert galaxy
,,NGC1275,03:20:30,41:33:31,Per,2.6'-1.9',11.6,G-Pec,300e6,Perseus A radio source
,,NGC1333,03:29:57,31:27:15,Per,3'x6',3.6,RN,1000,Relatively bright
,,NGC1501,04:07:56,60:56:51,Cam,52",12.0,PN,3600,Dark center
,,NGC1514,04:09:52,30:48:44,Tau,2',10.8,PN,2300,"Crystal Ball" nebula-9.4M central star
,XXX,NGC1535,04:14:42,-12:42:50,Eri,18",10.4,PN,5800,"Cleopatra's Eye" Blue-grey nebula
,X,R LEP,05:00:07,-14:47:26,Lep,-,6-11,Var.,1500,Hind's "Crimson Star"-carbon star
,,IC418,05:28:00,-12:41:31,Lep,12",9.3,PN,2000,"Spirograph" Nebula 10M central star
,,M1,05:35:09,22:01:26,Tau,5'x3',8.4,SNR,6300,"Crab" nebula
,XXXXX,M42,05:35:56,-05:26:37,Ori,65',4,EN,1700,"Orion" nebula
D,X,IC434/B33,05:41:35,-02:27:18,Ori,60'x10',-,E/DN,1500,"Horsehead" nebula
,,M78,05:47:15,00:03:13,Ori,8'x6',8.0,E/RN,1600,Bright nucleus
,,M37,05:53:06,32:33:10,Aur,20',5.6,OC,4400,Very rich galactic cluster
,,NGC2163,06:08:26,18:39:55,Ori,1'x2',12,EN,144e6,Cederblad 62 (bipolar)
,,PK 194+2.1,06:26:33,17:46:51,Gem,8",12.2,PN,200,Bright starlike
,,BET MON,06:29:19,-07:22:25,Mon,7.3"/10.0",4.7-5.2-6.1,Triple,175,Triple
